State,Action,QValue
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),-0.055
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Orc1),-0.04253239
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Skelleton2),-0.250151
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Orc0),0.2927762
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Skelleton0),-0.04806517
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Skelleton4),-0.09013298
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest1),-0.244243
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-0.2898973
HPState: 13; ManaState: 0; LevelState: 1,LevelUp,-0.1428104
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Orc2),-0.1978371
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest3),-0.4181645
HPState: 13; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),-0.04157438
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Mighty Dragon),-0.3542691
HPState: 13; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-0.1443847
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest0),-0.1913997
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Skelleton3),-0.1288823
HPState: 13; ManaState: 0; LevelState: 1,PickUpChest(Chest2),-0.1572022
HPState: 13; ManaState: 0; LevelState: 1,SwordAttack(Skelleton1),-0.05564335
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),-0.02095579
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),-0.1016963
HPState: 13; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-0.1569715
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),-0.03082731
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton1),0
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Orc0),-22.03282
HPState: 1; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion0),-0.05
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Skelleton3),-9.231331
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-7.943831
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest4),-30.23741
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Skelleton4),-4.765922
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Skelleton1),-4.882527
HPState: 1; ManaState: 7; LevelState: 2,Teleport,-2.342582
HPState: 1; ManaState: 7; LevelState: 2,ShieldOfFaith,-2.071297
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Mighty Dragon),-38.61584
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-7.769084
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Skelleton2),-0.002928234
